can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,id_team,name,short_name,position,price,team_name,avg_mins_per_start,total_attacking_involvement,minutes_per_90,xg_per_90,goals_per_90,xa_per_90,assists_per_90,games_played,start_rate,estimated_shots_per_90,goal_efficiency,assist_efficiency,offensive_threat,points_per_start
True,True,,,154561,0,0,0,0,1,1,4.7,5.2,6,David,4.7,1,False,,,55,154561.jpg,6.0,False,Raya Martín,23.4,False,,a,1,3,24,779976,66857,403109,67627,0.9,4.4,Raya,200.0,2024-07-04,1995-09-15,False,p154561,360,0,0,3,1,0,0,0,1,0,11,3,102,95.4,10.0,0.0,10.5,1,37,0,0,4,0.0,0.02,0.02,2.41,31,5,260,5,710,85,138,3,,,,,,,0.0,2.75,0.0,0.0,0.6,0.25,138,3,61,8,27,5,14,2,1.0,0.75,0.0,1,Arsenal,ARS,GK,5.5,Arsenal,90.0,0.02,4.0,0.0,0.0,0.005,0.0,4.0,100.0,0.0,0.0,-0.005,0.005,6.0
True,True,100.0,100.0,67089,0,0,0,0,0,1,3.2,2.2,3,Martin,3.7,470,False,,2025-08-11T10:30:07.723845Z,40,67089.jpg,3.2,False,Dúbravka,34.1,False,,a,3,90,13,528789,64476,277144,30724,0.9,3.2,Dúbravka,194.0,2025-08-07,1989-01-15,False,p67089,360,0,0,1,7,0,0,0,0,0,12,0,53,93.0,0.0,0.0,9.3,8,35,0,0,4,0.0,0.0,0.00,9.17,43,8,387,11,342,4,166,8,,,,,,,0.0,3.0,0.0,0.0,2.29,1.75,609,42,91,11,144,16,5,1,1.0,0.25,0.0,3,Burnley,BUR,GK,4.0,Burnley,90.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,3.25
True,True,,,457569,0,0,0,0,0,1,3.8,4.3,2,Đorđe,4.3,67,False,,,45,457569.jpg,3.8,False,Petrović,4.5,False,,a,4,91,15,279633,28177,132193,17167,1.0,3.3,Petrović,190.0,2025-07-16,1999-10-08,False,p457569,360,0,0,2,5,0,0,0,1,0,9,0,60,79.0,0.0,0.0,7.9,9,28,0,0,4,0.0,0.0,0.00,3.48,67,11,575,71,545,65,190,12,,,,,,,0.0,2.25,0.0,0.0,0.87,1.25,437,27,66,9,108,13,82,12,1.0,0.5,0.0,4,Bournemouth,BOU,GK,4.5,Bournemouth,90.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,3.75
True,True,100.0,100.0,200720,0,0,0,0,0,1,2.7,2.2,2,Caoimhín,2.7,101,False,,2025-08-09T14:00:04.798673Z,45,200720.jpg,2.2,False,Kelleher,9.1,False,,a,5,94,9,150612,14806,293639,36446,0.6,2.0,Kelleher,104.0,2025-06-03,1998-11-23,False,p200720,360,0,0,1,7,0,0,0,1,0,9,0,39,67.6,0.0,0.0,6.8,6,35,1,0,4,0.0,0.01,0.01,5.84,94,15,558,68,525,62,213,16,,,,,,,0.0,2.25,0.0,0.0,1.46,1.75,410,24,134,13,208,19,46,8,1.0,0.25,0.0,5,Brentford,BRE,GK,4.5,Brentford,90.0,0.01,4.0,0.0,0.0,0.0025,0.0,4.0,100.0,0.0,0.0,-0.0025,0.0025,2.25
True,True,,,489639,0,0,0,0,0,1,1.7,1.7,2,Bart,1.7,139,False,,,45,489639.jpg,1.8,False,Verbruggen,5.4,False,,a,6,36,7,62203,4001,255754,31366,0.4,1.6,Verbruggen,152.0,2023-07-03,2002-08-18,False,p489639,360,0,0,0,6,0,0,0,0,0,7,0,40,71.0,10.0,0.0,8.0,2,43,0,0,4,0.0,0.01,0.01,5.63,86,13,256,2,553,67,184,10,,,,,,,0.0,1.75,0.0,0.0,1.41,1.5,449,29,204,17,254,21,67,11,1.0,0.0,0.0,6,Brighton,BHA,GK,4.5,Brighton,90.0,0.01,4.0,0.0,0.0,0.0025,0.0,4.0,100.0,0.0,0.0,-0.0025,0.0025,1.75
True,True,,,215059,0,0,0,0,0,1,4.2,4.2,2,Robert,3.7,220,False,,,50,215059.jpg,4.8,False,Lynch Sánchez,22.7,False,,a,7,8,19,450618,16101,596091,127801,0.7,3.8,Sánchez,200.0,2023-08-05,1997-11-18,False,p215059,360,0,0,2,3,0,0,0,0,0,11,1,71,79.4,0.0,0.0,7.9,3,27,0,0,4,0.0,0.0,0.00,3.84,66,10,678,82,656,78,194,13,,,,,,,0.0,2.75,0.0,0.0,0.96,0.75,262,12,96,12,64,8,15,3,1.0,0.5,0.0,7,Chelsea,CHE,GK,5.0,Chelsea,90.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,4.75
True,True,,,172649,0,0,0,0,0,1,5.0,5.5,6,Dean,5.0,253,False,,,50,172649.jpg,5.2,False,Henderson,8.1,False,,a,8,31,21,252708,28200,149630,19869,1.0,4.2,Henderson,241.0,2023-08-31,1997-03-12,False,p172649,360,0,0,3,1,0,0,0,0,0,6,0,83,61.2,10.0,0.0,7.0,3,24,0,0,4,0.0,0.0,0.00,4.02,105,16,257,3,654,77,210,15,,,,,,,0.0,1.5,0.0,0.0,1.0,0.25,252,11,47,6,52,7,54,9,1.0,0.75,0.0,8,Crystal Palace,CRY,GK,5.0,Crystal Palace,90.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,5.25
True,True,,,111234,0,0,0,0,1,1,6.3,7.3,6,Jordan,7.3,287,False,,,55,111234.jpg,6.0,False,Pickford,11.6,False,,a,9,11,24,289549,16160,274137,45674,1.3,4.4,Pickford,241.0,2017-07-01,1994-03-07,False,p111234,360,0,0,2,3,0,1,0,0,0,9,3,81,95.0,0.0,0.0,9.5,9,36,0,0,4,0.0,0.01,0.01,6.15,33,6,713,85,708,83,161,7,,,,,,,0.0,2.25,0.0,0.0,1.54,0.75,133,1,11,1,26,4,38,5,1.0,0.5,0.0,9,Everton,EVE,GK,5.5,Everton,90.0,0.01,4.0,0.0,0.0,0.0025,0.0,4.0,100.0,0.0,0.0,-0.0025,0.0025,6.0
True,True,,,80201,0,0,0,0,0,1,4.3,4.8,8,Bernd,4.3,314,False,,,50,80201.jpg,4.0,False,Leno,1.6,False,,a,10,54,16,36422,4542,47848,4512,0.9,3.2,Leno,80.0,2022-08-02,1992-03-04,False,p80201,360,0,0,1,4,0,0,0,0,0,13,1,68,100.2,0.0,0.0,10.0,4,37,1,0,4,0.0,0.0,0.00,6.25,27,4,673,78,649,73,150,5,,,,,,,0.0,3.25,0.0,0.0,1.56,1.0,241,7,68,10,90,10,143,21,1.0,0.25,0.0,10,Fulham,FUL,GK,5.0,Fulham,90.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,4.0
True,True,0.0,0.0,201595,0,0,0,0,0,1,0.0,0.0,0,Lucas Estella,2.0,665,False,Thigh injury - Expected back 27 Sep,2025-09-11T17:30:07.176029Z,45,201595.jpg,4.0,False,Perri,0.3,False,,i,11,2,12,14522,92,20679,4322,0.4,2.7,Perri,30.0,2025-07-26,1997-12-10,False,p201595,270,0,0,2,5,0,0,0,0,0,3,0,36,29.2,0.0,0.0,2.9,3,20,0,0,3,0.0,0.0,0.00,3.89,218,21,559,69,526,63,322,21,,,,,,,0.0,1.0,0.0,0.0,1.3,1.67,411,25,185,16,86,9,291,42,1.0,0.67,0.0,11,Leeds,LEE,GK,4.5,Leeds,90.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,4.0
