can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,id_team,name,short_name,position,price,team_name,avg_mins_per_start,total_attacking_involvement,minutes_per_90,xg_per_90,goals_per_90,xa_per_90,assists_per_90,games_played,start_rate,estimated_shots_per_90,goal_efficiency,assist_efficiency,offensive_threat,points_per_start
True,True,,,154561,1,-1,1,-1,1,1,3.3,3.3,2,David,3.3,1,False,,,56,154561.jpg,5.2,False,Raya Martín,24.5,False,,a,1,3,26,1019329,208110,516723,73355,0.6,4.6,Raya,200.0,2024-07-04,1995-09-15,False,p154561,450,0,0,3,2,0,0,0,1,0,13,3,115,116.8,10.0,0.0,12.6,2,43,0,0,5,0.0,0.03,0.03,3.3,40,6,287,5,723,85,151,4,,,,,,,0.0,2.6,0.01,0.01,0.66,0.4,125,1,107,9,43,4,14,2,1.0,0.6,0.0,1,Arsenal,ARS,GK,5.6,Arsenal,90.0,0.03,5.0,0.0,0.0,0.006,0.0,5.0,125.0,0.0,0.0,-0.006,0.006,5.2
True,True,100.0,100.0,98980,0,0,0,0,0,1,3.0,3.5,3,Emiliano,3.0,32,False,,2025-07-21T10:00:04.758838Z,50,98980.jpg,3.7,False,Martínez Romero,2.2,False,,a,2,7,11,142431,15895,74774,11637,0.6,2.2,Martinez,10.0,2020-09-16,1992-09-02,False,p98980,270,0,0,1,2,0,0,0,0,0,6,0,54,51.8,0.0,0.0,5.2,3,20,0,0,3,0.0,0.01,0.01,4.34,164,19,682,81,662,76,289,20,,,,,,,0.0,2.0,0.0,0.0,1.45,0.67,247,10,121,11,107,10,124,17,1.0,0.33,0.0,2,Aston Villa,AVL,GK,5.0,Aston Villa,90.0,0.01,3.0,0.0,0.0,0.0033333333333333335,0.0,3.0,75.0,0.0,0.0,-0.0033333333333333335,0.0033333333333333335,3.6666666666666665
True,True,100.0,100.0,67089,0,0,0,0,0,1,2.0,2.5,4,Martin,3.0,470,False,,2025-08-11T10:30:07.723845Z,40,67089.jpg,3.4,False,Dúbravka,34.3,False,,a,3,90,17,647148,75310,341596,46989,0.8,4.2,Dúbravka,194.0,2025-08-07,1989-01-15,False,p67089,450,0,0,1,8,0,0,0,0,0,19,0,77,142.6,0.0,0.0,14.3,9,46,0,0,5,0.0,0.0,0.00,10.27,14,2,412,12,373,5,120,2,,,,,,,0.0,3.8,0.0,0.0,2.05,1.6,610,42,111,10,127,14,5,1,1.0,0.2,0.0,3,Burnley,BUR,GK,4.0,Burnley,90.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,125.0,0.0,0.0,0.0,0.0,3.4
True,True,,,457569,0,0,0,0,0,1,4.8,3.8,6,Đorđe,4.3,67,False,,,45,457569.jpg,4.2,False,Petrović,5.1,False,,a,4,91,21,379441,80167,163818,20153,1.0,4.7,Petrović,190.0,2025-07-16,1999-10-08,False,p457569,450,0,0,3,5,0,0,0,1,0,10,0,82,88.8,0.0,0.0,8.9,10,33,0,0,5,0.0,0.0,0.00,3.62,78,10,586,71,560,65,205,11,,,,,,,0.0,2.0,0.0,0.0,0.72,1.0,432,27,62,5,77,7,69,12,1.0,0.6,0.0,4,Bournemouth,BOU,GK,4.5,Bournemouth,90.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,125.0,0.0,0.0,0.0,0.0,4.2
True,True,100.0,100.0,200720,0,0,0,0,0,1,1.3,1.3,1,Caoimhín,1.3,101,False,,2025-08-09T14:00:04.798673Z,45,200720.jpg,2.0,False,Kelleher,8.6,False,,a,5,94,10,169972,10694,363358,50073,0.3,2.2,Kelleher,104.0,2025-06-03,1998-11-23,False,p200720,450,0,0,1,10,0,0,0,1,0,11,0,40,85.2,0.0,0.0,8.6,7,42,1,0,5,0.0,0.01,0.01,6.85,88,12,570,68,543,62,212,13,,,,,,,0.0,2.2,0.0,0.0,1.37,2.0,407,24,225,20,233,20,48,8,1.0,0.2,0.0,5,Brentford,BRE,GK,4.5,Brentford,90.0,0.01,5.0,0.0,0.0,0.002,0.0,5.0,125.0,0.0,0.0,-0.002,0.002,2.0
True,True,,,489639,0,0,0,0,0,1,1.2,1.7,1,Bart,1.7,139,False,,,45,489639.jpg,1.6,False,Verbruggen,5.0,False,,a,6,36,8,70610,5409,311911,36896,0.4,1.8,Verbruggen,152.0,2023-07-03,2002-08-18,False,p489639,450,0,0,0,8,0,0,0,0,0,9,0,46,90.2,10.0,0.0,9.9,3,50,0,0,5,0.0,0.01,0.01,6.85,77,9,284,2,567,67,194,9,,,,,,,0.0,1.8,0.0,0.0,1.37,1.6,442,29,206,17,277,23,71,13,1.0,0.0,0.0,6,Brighton,BHA,GK,4.5,Brighton,90.0,0.01,5.0,0.0,0.0,0.002,0.0,5.0,125.0,0.0,0.0,-0.002,0.002,1.6
True,True,,,215059,0,0,0,0,0,1,2.2,2.2,-3,Robert,1.7,220,False,,,50,215059.jpg,3.2,False,Lynch Sánchez,18.8,False,,a,7,8,16,465466,6713,1058292,381507,0.3,3.2,Sánchez,200.0,2023-08-05,1997-11-18,False,p215059,364,0,0,2,5,0,0,0,0,1,12,1,59,81.4,0.0,0.0,8.1,3,27,0,0,5,0.0,0.0,0.00,3.89,101,14,684,82,666,78,225,16,,,,,,,0.0,2.97,0.0,0.0,0.96,1.24,263,12,208,18,139,16,21,3,1.24,0.49,0.0,7,Chelsea,CHE,GK,5.0,Chelsea,72.8,0.0,4.044444444444444,0.0,0.0,0.0,0.0,4.044444444444444,125.0,0.0,0.0,0.0,0.0,3.2
True,True,,,172649,0,0,0,0,0,1,3.7,4.7,1,Dean,4.7,253,False,,,50,172649.jpg,4.4,False,Henderson,7.9,False,,a,8,31,22,286682,13267,204211,41780,0.9,4.4,Henderson,241.0,2023-08-31,1997-03-12,False,p172649,450,0,0,3,2,0,0,0,1,0,8,0,94,81.2,10.0,0.0,9.0,6,31,0,0,5,0.0,0.03,0.03,4.68,102,15,285,3,664,77,203,10,,,,,,,0.0,1.6,0.01,0.01,0.94,0.4,253,11,52,4,72,6,52,9,1.0,0.6,0.0,8,Crystal Palace,CRY,GK,5.0,Crystal Palace,90.0,0.03,5.0,0.0,0.0,0.006,0.0,5.0,125.0,0.0,0.0,-0.006,0.006,4.4
True,True,,,111234,0,0,0,0,1,1,2.7,1.7,1,Jordan,2.7,287,False,,,55,111234.jpg,5.0,False,Pickford,11.3,False,,a,9,11,25,325479,27137,347469,40099,0.5,4.5,Pickford,241.0,2017-07-01,1994-03-07,False,p111234,450,0,0,2,5,0,1,0,0,0,10,3,84,108.0,0.0,0.0,10.8,10,42,0,0,5,0.0,0.04,0.04,7.05,49,7,717,85,712,83,172,7,,,,,,,0.0,2.0,0.01,0.01,1.41,1.0,136,3,154,13,52,5,38,6,1.0,0.4,0.0,9,Everton,EVE,GK,5.5,Everton,90.0,0.04,5.0,0.0,0.0,0.008,0.0,5.0,125.0,0.0,0.0,-0.008,0.008,5.0
True,True,,,80201,0,0,0,0,0,1,3.7,3.7,1,Bernd,3.7,314,False,,,50,80201.jpg,3.4,False,Leno,1.6,False,,a,10,54,17,44744,3538,57614,6361,0.7,3.4,Leno,80.0,2022-08-02,1992-03-04,False,p80201,450,0,0,1,5,0,0,0,1,0,15,1,77,119.4,0.0,0.0,11.9,5,43,1,0,5,0.0,0.0,0.00,6.85,37,5,679,78,659,73,157,6,,,,,,,0.0,3.0,0.0,0.0,1.37,1.0,243,7,86,7,130,15,148,20,1.0,0.2,0.0,10,Fulham,FUL,GK,5.0,Fulham,90.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,125.0,0.0,0.0,0.0,0.0,3.4
True,True,50.0,0.0,201595,0,0,0,0,0,1,0.8,0.0,0,Lucas Estella,2.0,665,False,Thigh injury - 50% chance of playing,2025-09-11T17:30:07.176029Z,45,201595.jpg,4.0,False,Perri,0.3,False,,d,11,2,12,14755,195,25030,2702,0.4,2.7,Perri,30.0,2025-07-26,1997-12-10,False,p201595,270,0,0,2,5,0,0,0,0,0,3,0,36,29.2,0.0,0.0,2.9,3,20,0,0,3,0.0,0.0,0.00,3.89,251,23,571,69,544,63,343,23,,,,,,,0.0,1.0,0.0,0.0,1.3,1.67,408,25,183,15,83,8,308,46,1.0,0.67,0.0,11,Leeds,LEE,GK,4.5,Leeds,90.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,4.0
True,True,,,116535,0,0,0,0,1,1,6.3,6.3,2,Alisson,5.3,366,False,,,55,116535.jpg,3.6,False,Becker,10.7,False,,a,12,14,18,247939,18206,391618,43730,1.0,3.3,A.Becker,30.0,2018-07-19,1992-10-02,False,p116535,450,0,0,2,5,0,0,0,0,0,4,2,74,60.6,0.1,0.0,6.1,12,41,0,0,5,0.0,0.01,0.01,3.95,136,17,379,7,713,84,269,17,,,,,,,0.0,0.8,0.0,0.0,0.79,1.0,137,4,39,3,114,11,41,7,1.0,0.4,0.0,12,Liverpool,LIV,GK,5.5,Liverpool,90.0,0.01,5.0,0.0,0.0,0.002,0.0,5.0,125.0,0.0,0.0,-0.002,0.002,3.6
True,True,,,432720,0,0,-1,1,0,1,1.7,0.7,0,James,0.7,182,False,,,49,432720.jpg,3.7,False,Trafford,1.6,False,,a,13,43,11,93878,863,187882,19405,0.1,2.2,Trafford,241.0,2025-07-29,2002-10-10,False,p432720,270,0,0,1,4,0,0,0,0,0,11,0,62,100.2,0.0,0.0,10.1,6,33,2,0,3,0.0,0.0,0.00,3.97,62,8,662,77,642,72,188,8,,,,,,,0.0,3.67,0.0,0.0,1.32,1.33,342,18,300,23,106,9,147,19,1.0,0.33,0.0,13,Man City,MCI,GK,4.9,Man City,90.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,3.6666666666666665
True,True,,,451302,0,0,0,0,0,1,1.7,1.2,2,Altay,1.7,431,False,,,50,451302.jpg,1.8,False,Bayındır,0.4,False,,a,14,1,9,20519,2893,28224,1901,0.3,1.8,Bayindir,219.0,2023-09-01,1998-04-14,False,p451302,450,0,0,0,8,0,0,0,0,0,8,0,38,74.0,10.0,0.0,8.4,5,34,0,0,5,0.0,0.04,0.04,7.22,115,16,286,4,671,79,220,15,,,,,,,0.0,1.6,0.01,0.01,1.44,1.6,277,13,210,19,263,22,260,35,1.0,0.0,0.0,14,Man Utd,MUN,GK,5.0,Man Utd,90.0,0.04,5.0,0.0,0.0,0.008,0.0,5.0,125.0,0.0,0.0,-0.008,0.008,1.8
True,True,,,98747,0,0,0,0,1,1,6.3,6.8,6,Nick,6.3,469,True,,,50,98747.jpg,6.4,False,Pope,6.5,False,,a,15,4,32,418528,78458,165543,29514,1.3,6.4,Pope,241.0,2022-06-23,1992-04-19,False,p98747,450,0,1,4,3,0,0,0,1,0,10,3,115,88.4,0.0,0.0,8.8,4,49,0,0,5,0.0,0.0,0.00,2.65,79,11,681,80,661,75,208,12,,,,,,,0.0,2.0,0.0,0.0,0.53,0.6,246,9,14,2,14,1,60,10,1.0,0.8,0.0,15,Newcastle,NEW,GK,5.0,Newcastle,90.0,1.0,5.0,0.0,0.0,0.0,0.2,5.0,125.0,0.0,0.0,0.2,0.0,6.4
