team,expected_goals,expected_goals_conceded,goals_scored,goals_conceded,saves,clean_sheets,assists,total_points,id,name,short_name,team_id,total_minutes,team_minutes_90,xga_per_90,goals_conceded_per_90,estimated_shots_faced,shots_faced_per_90,xg_per_90,goals_per_90,estimated_shots,shots_per_90,clean_sheet_rate,defensive_efficiency,offensive_efficiency
1,7.7,37.58,10,22,13,32,9,307,1,Arsenal,ARS,1,5014,16,211.3875,123.75,35,196.875,43.3125,56.25,61.6,346.5,8.0,87.63749999999999,12.9375
2,3.77,92.56,1,55,10,22,1,188,2,Aston Villa,AVL,2,4908,16,520.65,309.375,65,365.625,21.20625,5.625,30.16,169.65,5.5,211.27499999999998,-15.58125
3,4.16,111.97,5,88,19,15,5,213,3,Burnley,BUR,3,4923,16,629.83125,495.0,107,601.875,23.400000000000002,28.125,33.28,187.20000000000002,3.75,134.83124999999995,4.724999999999998
4,6.58,39.87,6,55,10,32,6,276,4,Bournemouth,BOU,4,4934,16,224.26874999999998,309.375,65,365.625,37.0125,33.75,52.64,296.1,8.0,-85.10625000000002,-3.262500000000003
5,5.93,75.41,6,110,11,13,4,200,5,Brentford,BRE,5,4931,16,424.18125,618.75,121,680.625,33.356249999999996,33.75,47.44,266.84999999999997,3.25,-194.56875000000002,0.39375000000000426
6,8.16,75.37,6,88,9,5,5,181,6,Brighton,BHA,6,4931,16,423.95625,495.0,97,545.625,45.9,33.75,65.28,367.2,1.25,-71.04374999999999,-12.149999999999999
7,8.42,61.31,10,56,13,21,9,273,7,Chelsea,CHE,7,4857,16,344.86875000000003,315.0,69,388.125,47.3625,56.25,67.36,378.9,5.25,29.868750000000034,8.887500000000003
8,8.28,50.29,6,22,8,31,5,260,8,Crystal Palace,CRY,8,4854,16,282.88125,123.75,30,168.75,46.574999999999996,33.75,66.24,372.59999999999997,7.75,159.13125000000002,-12.824999999999996
9,6.890000000000001,77.55,6,55,10,23,6,240,9,Everton,EVE,9,4940,16,436.21875,309.375,65,365.625,38.75625,33.75,55.120000000000005,310.05,5.75,126.84375,-5.006250000000001
10,5.4399999999999995,75.33,4,55,15,9,6,205,10,Fulham,FUL,10,4926,16,423.73125,309.375,70,393.75,30.599999999999998,22.5,43.519999999999996,244.79999999999998,2.25,114.35624999999999,-8.099999999999998
11,4.21,71.79,4,77,11,23,4,229,11,Leeds,LEE,11,4933,16,403.81875,433.125,88,495.0,23.68125,22.5,33.68,189.45,5.75,-29.306249999999977,-1.1812499999999986
12,6.76,43.47,11,55,4,20,10,271,12,Liverpool,LIV,12,4934,16,244.51874999999998,309.375,59,331.875,38.025,61.875,54.08,304.2,5.0,-64.85625000000002,23.85
13,9.32,70.81,9,55,15,26,8,271,13,Man City,MCI,13,4928,16,398.30625000000003,309.375,70,393.75,52.425000000000004,50.625,74.56,419.40000000000003,6.5,88.93125000000003,-1.8000000000000043
14,10.12,78.99,4,88,8,4,6,182,14,Man Utd,MUN,14,4891,16,444.31874999999997,495.0,96,540.0,56.925,22.5,80.96,455.4,1.0,-50.681250000000034,-34.425
15,4.51,28.52,3,33,10,43,3,274,15,Newcastle,NEW,15,4892,16,160.425,185.625,43,241.875,25.36875,16.875,36.08,202.95,10.75,-25.19999999999999,-8.493749999999999
16,4.8100000000000005,84.76,5,99,16,1,4,172,16,Nott'm Forest,NFO,16,4929,16,476.77500000000003,556.875,115,646.875,27.056250000000002,28.125,38.480000000000004,216.45000000000002,0.25,-80.09999999999997,1.0687499999999979
17,4.38,56.519999999999996,6,43,14,23,6,255,17,Sunderland,SUN,17,4865,16,317.92499999999995,241.875,57,320.625,24.6375,33.75,35.04,197.1,5.75,76.04999999999995,9.1125
18,6.17,65.96,9,33,19,33,9,298,18,Spurs,TOT,18,4931,16,371.025,185.625,52,292.5,34.70625,50.625,49.36,277.65,8.25,185.39999999999998,15.918750000000003
19,4.99,84.4,5,143,10,11,5,171,19,West Ham,WHU,19,4901,16,474.75000000000006,804.375,153,860.625,28.06875,28.125,39.92,224.55,2.75,-329.62499999999994,0.05624999999999858
20,4.4,84.36,3,132,8,0,3,138,20,Wolves,WOL,20,4888,16,474.525,742.5,140,787.5,24.750000000000004,16.875,35.2,198.00000000000003,0.0,-267.975,-7.8750000000000036
