team,expected_goals,expected_goals_conceded,goals_scored,goals_conceded,saves,clean_sheets,assists,total_points,id,name,short_name,xg_per_90,xga_per_90,goals_per_90,goals_conceded_per_90,estimated_shots_faced,shots_faced_per_90,estimated_shots,shots_per_90,clean_sheet_rate,defensive_efficiency,offensive_efficiency
1,7.7,37.58,10,22,13,32,9,307,1,Arsenal,ARS,1.54,7.516,2.0,4.4,35,7.0,61.6,12.32,6.4,-3.1159999999999997,0.45999999999999996
2,3.77,92.56,1,55,10,22,1,188,2,Aston Villa,AVL,0.754,18.512,0.2,11.0,65,13.0,30.16,6.032,4.4,-7.5120000000000005,-0.554
3,4.16,111.97,5,88,19,15,5,213,3,Burnley,BUR,0.8320000000000001,22.394,1.0,17.6,107,21.4,33.28,6.656000000000001,3.0,-4.793999999999997,0.16799999999999993
4,6.58,39.87,6,55,10,32,6,276,4,Bournemouth,BOU,1.316,7.973999999999999,1.2,11.0,65,13.0,52.64,10.528,6.4,3.0260000000000007,-0.1160000000000001
5,5.93,75.41,6,110,11,13,4,200,5,Brentford,BRE,1.186,15.081999999999999,1.2,22.0,121,24.2,47.44,9.488,2.6,6.918000000000001,0.014000000000000012
6,8.16,75.37,6,88,9,5,5,181,6,Brighton,BHA,1.6320000000000001,15.074000000000002,1.2,17.6,97,19.4,65.28,13.056000000000001,1.0,2.526,-0.43200000000000016
7,8.42,61.31,10,56,13,21,9,273,7,Chelsea,CHE,1.684,12.262,2.0,11.2,69,13.8,67.36,13.472,4.2,-1.0620000000000012,0.31600000000000006
8,8.28,50.29,6,22,8,31,5,260,8,Crystal Palace,CRY,1.656,10.058,1.2,4.4,30,6.0,66.24,13.248,6.2,-5.6579999999999995,-0.45599999999999996
9,6.890000000000001,77.55,6,55,10,23,6,240,9,Everton,EVE,1.3780000000000001,15.51,1.2,11.0,65,13.0,55.120000000000005,11.024000000000001,4.6,-4.51,-0.17800000000000016
10,5.4399999999999995,75.33,4,55,15,9,6,205,10,Fulham,FUL,1.0879999999999999,15.065999999999999,0.8,11.0,70,14.0,43.519999999999996,8.703999999999999,1.8,-4.065999999999999,-0.2879999999999998
11,4.21,71.79,4,77,11,23,4,229,11,Leeds,LEE,0.842,14.358,0.8,15.4,88,17.6,33.68,6.736,4.6,1.0419999999999998,-0.041999999999999926
12,6.76,43.47,11,55,4,20,10,271,12,Liverpool,LIV,1.3519999999999999,8.693999999999999,2.2,11.0,59,11.8,54.08,10.815999999999999,4.0,2.306000000000001,0.8480000000000003
13,9.32,70.81,9,55,15,26,8,271,13,Man City,MCI,1.864,14.162,1.8,11.0,70,14.0,74.56,14.912,5.2,-3.162000000000001,-0.06400000000000006
14,10.12,78.99,4,88,8,4,6,182,14,Man Utd,MUN,2.024,15.797999999999998,0.8,17.6,96,19.2,80.96,16.192,0.8,1.8020000000000032,-1.224
15,4.51,28.52,3,33,10,43,3,274,15,Newcastle,NEW,0.9019999999999999,5.704,0.6,6.6,43,8.6,36.08,7.215999999999999,8.6,0.8959999999999999,-0.30199999999999994
16,4.8100000000000005,84.76,5,99,16,1,4,172,16,Nott'm Forest,NFO,0.9620000000000001,16.952,1.0,19.8,115,23.0,38.480000000000004,7.696000000000001,0.2,2.847999999999999,0.03799999999999992
17,4.38,56.519999999999996,6,43,14,23,6,255,17,Sunderland,SUN,0.876,11.303999999999998,1.2,8.6,57,11.4,35.04,7.008,4.6,-2.703999999999999,0.32399999999999995
18,6.17,65.96,9,33,19,33,9,298,18,Spurs,TOT,1.234,13.191999999999998,1.8,6.6,52,10.4,49.36,9.872,6.6,-6.591999999999999,0.5660000000000001
19,4.99,84.4,5,143,10,11,5,171,19,West Ham,WHU,0.998,16.880000000000003,1.0,28.6,153,30.6,39.92,7.984,2.2,11.719999999999999,0.0020000000000000018
20,4.4,84.36,3,132,8,0,3,138,20,Wolves,WOL,0.8800000000000001,16.872,0.6,26.4,140,28.0,35.2,7.040000000000001,0.0,9.527999999999999,-0.28000000000000014
