team,expected_goals,expected_goals_conceded,goals_scored,goals_conceded,saves,clean_sheets,assists,total_points,id,name,short_name,xg_per_90,xga_per_90,goals_per_90,goals_conceded_per_90,estimated_shots_faced,shots_faced_per_90,estimated_shots,shots_per_90,clean_sheet_rate,defensive_efficiency,offensive_efficiency
1,7.7,37.58,10,22,13,32,9,307,1,Arsenal,ARS,1.925,9.395,2.5,5.5,35,8.75,61.6,15.4,8.0,-3.8949999999999996,0.575
2,3.77,92.56,1,55,10,22,1,188,2,Aston Villa,AVL,0.9425,23.14,0.25,13.75,65,16.25,30.16,7.54,5.5,-9.39,-0.6925
3,4.16,111.97,5,88,19,15,5,213,3,Burnley,BUR,1.04,27.9925,1.25,22.0,107,26.75,33.28,8.32,3.75,-5.9925,0.20999999999999996
4,6.58,39.87,6,55,10,32,6,276,4,Bournemouth,BOU,1.645,9.9675,1.5,13.75,65,16.25,52.64,13.16,8.0,3.7825000000000006,-0.14500000000000002
5,5.93,75.41,6,110,11,13,4,200,5,Brentford,BRE,1.4825,18.8525,1.5,27.5,121,30.25,47.44,11.86,3.25,8.6475,0.01750000000000007
6,8.16,75.37,6,88,9,5,5,181,6,Brighton,BHA,2.04,18.8425,1.5,22.0,97,24.25,65.28,16.32,1.25,3.157499999999999,-0.54
7,8.42,61.31,10,56,13,21,9,273,7,Chelsea,CHE,2.105,15.3275,2.5,14.0,69,17.25,67.36,16.84,5.25,-1.3275000000000006,0.395
8,8.28,50.29,6,22,8,31,5,260,8,Crystal Palace,CRY,2.07,12.5725,1.5,5.5,30,7.5,66.24,16.56,7.75,-7.0725,-0.5699999999999998
9,6.890000000000001,77.55,6,55,10,23,6,240,9,Everton,EVE,1.7225000000000001,19.3875,1.5,13.75,65,16.25,55.120000000000005,13.780000000000001,5.75,-5.637499999999999,-0.22250000000000014
10,5.4399999999999995,75.33,4,55,15,9,6,205,10,Fulham,FUL,1.3599999999999999,18.8325,1.0,13.75,70,17.5,43.519999999999996,10.879999999999999,2.25,-5.0825,-0.3599999999999999
11,4.21,71.79,4,77,11,23,4,229,11,Leeds,LEE,1.0525,17.9475,1.0,19.25,88,22.0,33.68,8.42,5.75,1.3024999999999984,-0.05249999999999999
12,6.76,43.47,11,55,4,20,10,271,12,Liverpool,LIV,1.69,10.8675,2.75,13.75,59,14.75,54.08,13.52,5.0,2.8825000000000003,1.06
13,9.32,70.81,9,55,15,26,8,271,13,Man City,MCI,2.33,17.7025,2.25,13.75,70,17.5,74.56,18.64,6.5,-3.9525000000000006,-0.08000000000000007
14,10.12,78.99,4,88,8,4,6,182,14,Man Utd,MUN,2.53,19.7475,1.0,22.0,96,24.0,80.96,20.24,1.0,2.2525000000000013,-1.5299999999999998
15,4.51,28.52,3,33,10,43,3,274,15,Newcastle,NEW,1.1275,7.13,0.75,8.25,43,10.75,36.08,9.02,10.75,1.12,-0.37749999999999995
16,4.8100000000000005,84.76,5,99,16,1,4,172,16,Nott'm Forest,NFO,1.2025000000000001,21.19,1.25,24.75,115,28.75,38.480000000000004,9.620000000000001,0.25,3.5599999999999987,0.047499999999999876
17,4.38,56.519999999999996,6,43,14,23,6,255,17,Sunderland,SUN,1.095,14.129999999999999,1.5,10.75,57,14.25,35.04,8.76,5.75,-3.379999999999999,0.405
18,6.17,65.96,9,33,19,33,9,298,18,Spurs,TOT,1.5425,16.49,2.25,8.25,52,13.0,49.36,12.34,8.25,-8.239999999999998,0.7075
19,4.99,84.4,5,143,10,11,5,171,19,West Ham,WHU,1.2475,21.1,1.25,35.75,153,38.25,39.92,9.98,2.75,14.649999999999999,0.0024999999999999467
20,4.4,84.36,3,132,8,0,3,138,20,Wolves,WOL,1.1,21.09,0.75,33.0,140,35.0,35.2,8.8,0.0,11.91,-0.3500000000000001
